source,newsapi_uri,articles_since_2020,status
5plus.mu,,0,not found
aftonbladet.se,aftonbladet.se,0,not found
aif.ru,aif.ru,10340,available
chosun.com,chosun.com,18607,available
dn.no,dn.no,2,available
echoroukonline.com,echoroukonline.com,1893,available
elcomercio.com,elcomercio.com,297,available
ennaharonline.com,ennaharonline.com,1718,available
ft.com,ft.com,1068,available
guardian.ng,guardian.ng,3644,available
ilsole24ore.com,ilsole24ore.com,3337,available
inquirer.net,inquirer.net,74,available
kleinezeitung.at,kleinezeitung.at,5877,available
lanacion.cl,lanacion.cl,777,available
lequipe.fr,lequipe.fr,4001,available
liberation.fr,liberation.fr,131,available
lidovky.cz,lidovky.cz,1168,available
mmbiztoday.com,mmbiztoday.com,0,not found
nst.com.my,nst.com.my,0,not found
sol.sapo.pt,sol.sapo.pt,0,not found
telegraaf.nl,telegraaf.nl,301,available
thechronicle.com.gh,thechronicle.com.gh,602,available
thisdaylive.com,thisdaylive.com,2828,available
vanguardngr.com,vanguardngr.com,4670,available
vg.no,vg.no,0,not found
