source_uri,collection_method,articles_removed,reason,date_removed
lesoftonline.net,scrapai,17,"82% short articles (score 29), no NewsAPI replacement",2026-03-28
5plus.mu,scrapai,10,"100% duplicate content (score 50), no NewsAPI replacement",2026-03-28
trib.com,scrapai,581,"47% duplicate content (score 39), no NewsAPI replacement",2026-03-28
ilsole24ore.com,scrapai,417,"100% duplicate content (score 10), replaced by newsapi",2026-03-28
dailyinqilab.com,scrapai,4733,"55% short + 55% duplicate (score 25), replaced by newsapi",2026-03-28
alwafd.news,scrapai,9225,"28% short + 48% duplicate (score 38), replaced by newsapi",2026-03-28
indianexpress.com,scrapai,20,"85% short + 95% dup titles (score 42), replaced by newsapi",2026-03-28
arabnews.com,scrapai,332,"score 50, replaced by newsapi",2026-03-28
newvision.co.ug,scrapai,14,"score 50, replaced by newsapi",2026-03-28
jawapos.com,scrapai,1846,"score 57, replaced by newsapi",2026-03-28
lesoir.be,scrapai,156,"score 58, replaced by newsapi",2026-03-28
slobodnadalmacija.hr,scrapai,3489,"score 64, replaced by newsapi",2026-03-28
laprensa.hn,scrapai,238,"score 65, replaced by newsapi",2026-03-28
pluska.sk,scrapai,62,"score 70, replaced by newsapi",2026-03-28
