language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Romanian,climate,0.5200,0.0400,0.5176,no,0.5176,0.5267,environmental change,environmental change,quality of life,adevarul_ro,"8 martie, 8 președinte de parlamente, aceeași problemă",https://adevarul.ro/blogurile-adevarul/8-martie-8-presedinte-de-parlamente-aceeasi-2248383.html,7694,697
Romanian,climate,0.5200,0.0400,0.5181,no,0.5181,0.4874,carbon emission,carbon emission,west nile virus,adevarul_ro,"A treia revoluție a automobilului electric, declanșată în cel de-al treilea mileniu",https://adevarul.ro/blogurile-adevarul/a-treia-revolutie-a-automobillui-electric-2211839.html,7694,697
Romanian,climate,0.5200,0.0400,0.5183,no,0.5183,0.4792,climate action,climate action,west nile virus,adevarul_ro,China flutură steagul „energiei verzi” și cheamă la luptă împotriva Americii. China la zi,https://adevarul.ro/blogurile-adevarul/china-flutura-steagul-energiei-verzi-si-cheama-2420018.html,7694,697
Romanian,climate,0.5200,0.0400,0.5184,no,0.5184,0.4577,climate crises,climate crises,extreme poverty,adevarul_ro,Raportul despre Apocalipsa în curs de pregătire de Mama Natură,https://adevarul.ro/blogurile-adevarul/raportul-despre-apocalipsa-in-curs-de-pregatire-de-2109506.html,7694,697
Romanian,climate,0.5200,0.0400,0.5184,no,0.5184,0.5311,carbon emissions,carbon emissions,west nile virus,adevarul_ro,"Energia nucleară a Chinei - tehnologie proprie, gamă variată de centrale",https://adevarul.ro/blogurile-adevarul/energia-nucleara-a-chinei-tehnologie-proprie-2142574.html,7694,697
Romanian,climate,0.5200,0.0400,0.5188,no,0.5188,0.5032,environmental changes,environmental changes,undernourishment,adevarul_ro,"Poate numai din această cauză, a început deja cel de-al Treilea Război Mondial!",https://adevarul.ro/blogurile-adevarul/poate-numai-din-aceasta-cauza-a-inceput-deja-cel-2099774.html,7694,697
Romanian,climate,0.5200,0.0400,0.5192,no,0.5192,0.4814,environmental change,environmental change,quality of life,adevarul_ro,Situația privind resursele de apă s-a schimbat radical,https://adevarul.ro/blogurile-adevarul/situatia-privind-resursele-de-apa-s-a-schimbat-2418781.html,7694,697
Romanian,climate,0.5200,0.0400,0.5193,no,0.5193,0.5112,environmental change,environmental change,quality of life,adevarul_ro,"Rezilienţa democratică, continuitatea guvernării şi gestionarea crizelor: Centrul de excelenţă euroatlantică de la Bucureşti",https://adevarul.ro/blogurile-adevarul/rezilienta-democratica-continuitatea-guvernarii-2098842.html,7694,697
Romanian,climate,0.5200,0.0400,0.5201,YES,0.5201,0.5763,climate emergencies,climate emergencies,casualties,adevarul_ro,Rusia evocă atacarea convoaielor cu ajutoare militare trimise de Occident pentru Ucraina,https://adevarul.ro/blogurile-adevarul/rusia-evoca-atacarea-convoaielor-cu-ajutoare-2155270.html,7694,697
Romanian,climate,0.5200,0.0400,0.5202,YES,0.5202,0.5012,environmental change,environmental change,west nile virus,adevarul_ro,"România mai are are destule păduri care să fie tăiate, să tăiem cât mai mult şi cât mai repede, că satul nu are câini de pază?",https://adevarul.ro/blogurile-adevarul/romania-mai-are-are-destule-paduri-care-sa-fie-2108802.html,7694,697
Romanian,climate,0.5200,0.0400,0.5204,YES,0.5204,0.5152,carbon emission,carbon emission,west nile virus,adevarul_ro,Trei imagini pentru a explica de ce nu vrea coaliţia PSD PNL din Sectorul 1 ’’o ţară ca afară’’.,https://adevarul.ro/blogurile-adevarul/trei-imagini-pentru-a-explica-de-ce-nu-vrea-2173490.html,7694,697
Romanian,climate,0.5200,0.0400,0.5206,YES,0.5206,0.4774,heatwaves,heatwaves,lack of food,adevarul_ro,Un mic experiment cu pierderile de căldură din case,https://adevarul.ro/blogurile-adevarul/un-mic-experiment-cu-pierderile-de-caldura-din-2144986.html,7694,697
Romanian,climate,0.5200,0.0400,0.5208,YES,0.5208,0.5055,environmental change,environmental change,west nile virus,adevarul_ro,Ședință tehnică pentru legislație în domeniul hidrogenului,https://adevarul.ro/blogurile-adevarul/sedinta-tehnica-pentru-legislatie-in-domeniul-2240072.html,7694,697
Romanian,climate,0.5200,0.0400,0.5208,YES,0.5208,0.5795,climate crises,climate crises,undernourishment,adevarul_ro,Se va confrunta UE cu o criză alimentară?,https://adevarul.ro/blogurile-adevarul/se-va-confrunta-ue-cu-o-criza-alimentara-2163041.html,7694,697
Romanian,climate,0.5200,0.0400,0.5212,YES,0.5212,0.4920,climate crisis,climate crisis,undernourishment,adevarul_ro,"Minerii au fost plătiţi, criza dezamorsată. Dar după trei luni?",https://adevarul.ro/blogurile-adevarul/minerii-au-fost-platiti-criza-dezamorsata-dar-2078880.html,7694,697
Romanian,climate,0.5200,0.0400,0.5212,YES,0.5212,0.5213,carbon emission,carbon emission,west nile virus,adevarul_ro,Occidentul se rupe energetic de Rusia,https://adevarul.ro/blogurile-adevarul/occidentul-se-rupe-energetic-de-rusia-2154368.html,7694,697
